city,year,treat,batch,first_treat_year
东营市,2021,0,0,0
东营市,2022,0,0,0
东营市,2023,0,0,0
中卫市,1990,0,0,0
中卫市,1991,0,0,0
中卫市,1992,0,0,0
中卫市,1993,0,0,0
中卫市,1994,0,0,0
中卫市,1995,0,0,0
中卫市,1996,0,0,0
中卫市,1997,0,0,0
中卫市,1998,0,0,0
中卫市,1999,0,0,0
中卫市,2000,0,0,0
中卫市,2001,0,0,0
中卫市,2002,0,0,0
中卫市,2003,0,0,0
中卫市,2004,0,0,0
中卫市,2005,0,0,0
中卫市,2006,0,0,0
中卫市,2007,0,0,0
中卫市,2008,0,0,0
中卫市,2009,0,0,0
中卫市,2010,0,0,0
中卫市,2011,0,0,0
中卫市,2012,0,0,0
中卫市,2013,0,0,0
中卫市,2014,0,0,0
中卫市,2015,0,0,0
中卫市,2016,0,0,0
中卫市,2017,0,0,0
中卫市,2018,0,0,0
中卫市,2019,0,0,0
中卫市,2020,0,0,0
中卫市,2021,0,0,0
中卫市,2022,0,0,0
中卫市,2023,0,0,0
中山市,1990,0,0,0
中山市,1991,0,0,0
中山市,1992,0,0,0
中山市,1993,0,0,0
中山市,1994,0,0,0
中山市,1995,0,0,0
中山市,1996,0,0,0
中山市,1997,0,0,0
中山市,1998,0,0,0
中山市,1999,0,0,0
中山市,2000,0,0,0
中山市,2001,0,0,0
中山市,2002,0,0,0
中山市,2003,0,0,0
中山市,2004,0,0,0
中山市,2005,0,0,0
中山市,2006,0,0,0
中山市,2007,0,0,0
中山市,2008,0,0,0
中山市,2009,0,0,0
中山市,2010,0,0,0
中山市,2011,0,0,0
中山市,2012,0,0,0
中山市,2013,0,0,0
中山市,2014,0,0,0
中山市,2015,0,0,0
中山市,2016,0,0,0
中山市,2017,0,0,0
中山市,2018,0,0,0
中山市,2019,0,0,0
中山市,2020,0,0,0
中山市,2021,0,0,0
中山市,2022,0,0,0
中山市,2023,0,0,0
临汾市,1990,0,0,0
临汾市,1991,0,0,0
临汾市,1992,0,0,0
临汾市,1993,0,0,0
临汾市,1994,0,0,0
临汾市,1995,0,0,0
临汾市,1996,0,0,0
临汾市,1997,0,0,0
临汾市,1998,0,0,0
临汾市,1999,0,0,0
临汾市,2000,0,0,0
临汾市,2001,0,0,0
临汾市,2002,0,0,0
临汾市,2003,0,0,0
临汾市,2004,0,0,0
临汾市,2005,0,0,0
临汾市,2006,0,0,0
临汾市,2007,0,0,0
临汾市,2008,0,0,0
临汾市,2009,0,0,0
临汾市,2010,0,0,0
临汾市,2011,0,0,0
临汾市,2012,0,0,0
临汾市,2013,0,0,0
临汾市,2014,0,0,0
临汾市,2015,0,0,0
临汾市,2016,0,0,0
临汾市,2017,0,0,0
临汾市,2018,0,0,0
临汾市,2019,0,0,0
临汾市,2020,0,0,0
临汾市,2021,0,0,0
临汾市,2022,0,0,0
临汾市,2023,0,0,0
临沂市,1990,0,0,0
临沂市,1991,0,0,0
临沂市,1992,0,0,0
临沂市,1993,0,0,0
临沂市,1994,0,0,0
临沂市,1995,0,0,0
临沂市,1996,0,0,0
临沂市,1997,0,0,0
临沂市,1998,0,0,0
临沂市,1999,0,0,0
临沂市,2000,0,0,0
临沂市,2001,0,0,0
临沂市,2002,0,0,0
临沂市,2003,0,0,0
临沂市,2004,0,0,0
临沂市,2005,0,0,0
临沂市,2006,0,0,0
临沂市,2007,0,0,0
临沂市,2008,0,0,0
临沂市,2009,0,0,0
临沂市,2010,0,0,0
临沂市,2011,0,0,0
临沂市,2012,0,0,0
临沂市,2013,0,0,0
临沂市,2014,0,0,0
临沂市,2015,0,0,0
临沂市,2016,0,0,0
临沂市,2017,0,0,0
临沂市,2018,0,0,0
临沂市,2019,0,0,0
临沂市,2020,0,0,0
临沂市,2021,0,0,0
临沂市,2022,0,0,0
临沂市,2023,0,0,0
临沧市,1990,0,0,0
临沧市,1991,0,0,0
临沧市,1992,0,0,0
临沧市,1993,0,0,0
临沧市,1994,0,0,0
临沧市,1995,0,0,0
临沧市,1996,0,0,0
临沧市,1997,0,0,0
临沧市,1998,0,0,0
临沧市,1999,0,0,0
