Year,Month,News_Based_Policy_Uncert_Index
1934,11,125.50659
1934,12,130.18016
1935,1,180.55111
1935,2,182.12685
1935,3,235.13955
1935,4,150.29062
1935,5,211.27811
1935,6,173.86646
1935,7,138.33312
1935,8,127.00142
1935,9,157.32266
1935,10,139.11769
1935,11,109.43264
1935,12,139.05931
1936,1,194.16577
1936,2,127.45202
1936,3,121.74531
1936,4,121.05549
1936,5,151.99957
1936,6,152.52736
1936,7,94.561771
1936,8,103.09709
1936,9,90.534374
1936,10,95.133049
1936,11,92.312293
1936,12,72.991347
1937,1,131.3205
1937,2,94.698015
1937,3,87.29718
1937,4,111.24967
1937,5,99.706534
1937,6,135.75522
1937,7,115.51489
1937,8,121.74901
1937,9,127.6516
1937,10,95.193355
1937,11,176.98934
1937,12,163.90706
1938,1,201.80568
1938,2,139.51976
1938,3,126.12654
1938,4,137.31459
1938,5,140.77485
1938,6,131.3891
1938,7,93.913146
1938,8,107.33711
1938,9,174.9639
1938,10,131.23663
1938,11,108.0187
1938,12,98.233702
1939,1,117.27754
1939,2,112.44357
1939,3,98.465592
1939,4,135.25788
1939,5,126.94541
1939,6,97.012096
1939,7,111.34065
1939,8,115.04525
1939,9,176.26789
1939,10,177.34229
1939,11,121.60173
1939,12,108.22851
1940,1,154.60807
1940,2,113.58857
1940,3,131.36606
1940,4,135.11534
1940,5,141.49616
1940,6,175.17171
1940,7,123.62147
1940,8,164.37321
1940,9,149.90049
1940,10,142.43764
1940,11,110.39939
1940,12,123.10249
1941,1,137.09922
1941,2,129.56192
1941,3,118.57724
1941,4,95.024809
1941,5,97.110186
1941,6,119.29387
1941,7,109.49183
1941,8,104.92664
1941,9,82.73214
1941,10,88.135317
1941,11,100.07341
1941,12,153.64739
1942,1,159.56658
1942,2,121.45504
1942,3,114.48398
1942,4,159.55124
1942,5,164.77328
1942,6,117.37763
1942,7,139.49931
1942,8,133.36691
1942,9,157.62345
1942,10,124.66378
1942,11,99.95902
1942,12,149.38411
1943,1,108.81624
1943,2,90.970223
1943,3,148.20717
1943,4,102.49929
1943,5,132.8749
1943,6,115.06926
1943,7,114.3481
1943,8,94.383149
1943,9,117.4941
1943,10,88.576203
1943,11,99.654007
1943,12,91.577433
1944,1,83.611913
1944,2,97.865716
1944,3,74.796181
1944,4,145.52222
1944,5,90.376719
1944,6,70.145698
1944,7,84.695942
1944,8,77.219687
1944,9,112.82067
1944,10,108.25919
1944,11,88.479817
1944,12,112.77466
1945,1,71.296048
1945,2,74.430862
1945,3,100.26225
1945,4,92.115669
1945,5,85.48607
1945,6,96.855774
1945,7,110.39331
1945,8,153.88195
1945,9,130.22595
1945,10,133.81187
1945,11,97.891794
1945,12,102.88498
1946,1,96.191518
1946,2,81.092836
1946,3,111.86948
1946,4,97.837119
1946,5,82.595674
1946,6,86.770428
1946,7,126.34391
1946,8,85.674471
1946,9,89.028795
1946,10,86.232414
1946,11,84.515986
1946,12,88.537234
1947,1,84.654305
1947,2,112.75977
